ruta,fecha_real,autor,titulo,seccion,mes,vistas,clics_search,clics_discover,clics_news,trafico_total,posicion,impresiones_search
/technology/devices/apple-cambiara-el-calendario-de-lanzamiento-del-iphone-18-por-que-los-modelos-no-llegaran-en-el-mismo-ano,2026-08-12 16:59:39,Elba Reyes,Apple cambiará el calendario de lanzamiento del iPhone 18: ¿por qué los modelos no llegarán en el mismo año?,devices,2026-08,1763.0,393.0,0.0,2.0,2158.0,5.62,26522.0
/technology/devices/iphone-plegable-fecha-de-lanzamiento-posibles-caracteristicas-y-precio-estimado,2026-08-04 20:38:22,Elba Reyes,"iPhone plegable: Fecha de lanzamiento, posibles características y precio estimado",devices,2026-08,1432.0,693.0,3.0,6.0,2134.0,4.16,16645.0
/actualidad/resultados-de-leidsa-del-miercoles-12-de-agosto-de-2026-en-republica-dominicana,2026-08-13 13:10:29,Andrea Mercedes,Resultados de Leidsa del miércoles 12 de agosto de 2026 en República Dominicana,actualidad,2026-08,1735.0,374.0,0.0,0.0,2109.0,6.05,39946.0
/actualidad/juegos-centroamericanos-santo-domingo-2026-agenda-de-hoy-lunes-3-de-agosto,2026-08-03 14:57:25,Elba Reyes,"Juegos Centroamericanos Santo Domingo 2026: agenda de hoy, lunes 3 de agosto",actualidad,2026-08,1425.0,528.0,80.0,0.0,2033.0,5.08,39534.0
/money-invest/daily-news/muere-roman-ramos-fundador-de-grupo-ramos-y-pionero-del-comercio-moderno-en-republica-dominicana,2026-08-06 13:41:12,Andrea Mercedes,"Muere Román Ramos, fundador de Grupo Ramos y pionero del comercio moderno en República Dominicana",daily news,2026-08,1414.0,471.0,0.0,3.0,1888.0,5.15,9511.0
/actualidad/resultados-de-leidsa-del-sabado-8-de-agosto-de-2026-en-republica-dominicana,2026-08-10 12:27:07,Elba Reyes,Resultados de Leidsa del sábado 8 de agosto de 2026 en República Dominicana,actualidad,2026-08,1423.0,464.0,0.0,0.0,1887.0,7.42,18784.0
/actualidad/quienes-son-hermanos-lionel-messi,2026-08-08 17:29:08,Edwin Lozada,¿Quiénes son los hermanos de Lionel Messi? Así está conformada la familia del campeón del mundo,actualidad,2026-08,1281.0,580.0,0.0,2.0,1863.0,5.14,58174.0
/actualidad/resultados-de-las-loterias-del-13-de-agosto-de-2026-en-republica-dominicana,2026-08-14 14:03:26,Jhojhanni Fiorini,Resultados de las loterías del 13 de agosto de 2026 en República Dominicana,actualidad,2026-08,1800.0,0.0,0.0,0.0,1800.0,,
/lifestyle/experiencias/tres-playas-dominicanas-elegidas-entre-las-mejores-del-mundo-en-the-worlds-50-best-beaches-2026,2026-08-13 16:27:59,Elba Reyes,Tres playas dominicanas elegidas entre las mejores del mundo en The World&#8217;s 50 Best Beaches 2026,experiencias,2026-08,1780.0,0.0,15.0,0.0,1795.0,8.35,475.0
/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-agenda-de-hoy-miercoles-5-de-agosto,2026-08-05 14:40:50,Elba Reyes,"Juegos Centroamericanos Santo Domingo 2026: agenda de hoy, miércoles 5 de agosto",sport business,2026-08,1250.0,516.0,3.0,0.0,1769.0,4.87,26589.0
/empresas/sport-business/donde-y-cuando-seran-los-proximos-juegos-centroamericanos-y-del-caribe,2026-08-09 01:15:24,Edwin Lozada,¿Dónde y cuándo serán los próximos Juegos Centroamericanos y del Caribe?,sport business,2026-08,1265.0,491.0,5.0,1.0,1762.0,4.67,10796.0
/money-invest/daily-news/videos-asi-fue-el-momento-del-impactante-terremoto-de-74-que-sacudio-colombia,2026-08-10 16:08:19,Andrea Mercedes,"Videos | Así fue el momento del impactante terremoto de 7,4 que sacudió Colombia",daily news,2026-08,1028.0,120.0,326.0,0.0,1474.0,2.52,2509.0
/lifestyle/experiencias/asi-sera-el-espectaculo-de-clausura-de-los-juegos-centroamericanos-y-del-caribe-santo-domingo-2026,2026-08-07 15:45:06,Elba Reyes,Así será el espectáculo de clausura de los Juegos Centroamericanos y del Caribe Santo Domingo 2026,experiencias,2026-08,1215.0,169.0,8.0,3.0,1395.0,5.42,11433.0
/actualidad/resultados-de-las-loterias-del-06-de-agosto-de-2026-en-republica-dominicana,2026-08-07 12:52:35,Jhojhanni Fiorini,Resultados de las loterías del 06 de agosto de 2026 en República Dominicana,actualidad,2026-08,984.0,374.0,0.0,1.0,1359.0,7.4,94547.0
/money-invest/daily-news/elecciones-en-brasil-lula-lidera-encuestas-ante-flavio-bolsonaro-pero-la-contienda-apunta-a-un-balotaje,2026-08-03 19:27:39,Andrea Mercedes,Elecciones en Brasil: Lula lidera encuestas ante Flávio Bolsonaro pero la contienda apunta a un balotaje,daily news,2026-08,924.0,382.0,0.0,3.0,1309.0,4.32,3746.0
/money-invest/daily-news/temblor-en-rd-hoy-el-sismo-de-magnitud-4-5-que-desperto-al-noreste-del-pais,2026-08-03 15:23:04,Andrea Mercedes,Temblor en RD hoy: El sismo de magnitud 4.5 que despertó al noreste del país,daily news,2026-08,914.0,378.0,0.0,1.0,1293.0,6.71,54360.0
/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-agenda-de-hoy-sabado-1-de-agosto,2026-08-01 13:18:01,Elba Reyes,"Juegos Centroamericanos Santo Domingo 2026: agenda de hoy, sábado 1 de agosto",sport business,2026-08,887.0,274.0,112.0,4.0,1277.0,5.46,16593.0
/empresas/resultados-de-leidsa-del-sabado-1-de-agosto-de-2026-en-republica-dominicana,2026-08-02 13:01:02,Andrea Mercedes,Resultados de Leidsa del sábado 1 de agosto de 2026 en República Dominicana,actualidad,2026-08,364.0,911.0,0.0,0.0,1275.0,5.94,28493.0
/actualidad/festival-presidente-2026-revelan-los-10-primeros-artistas-confirmados,2026-08-12 16:34:19,Elba Reyes,Festival Presidente 2026: revelan los 11 primeros artistas confirmados,actualidad,2026-08,823.0,444.0,0.0,1.0,1268.0,3.7,8863.0
/technology/devices/por-que-sale-el-mensaje-de-cuenta-en-revision-en-whatsapp-y-cuanto-tarda-el-bloqueo,2026-08-04 21:15:19,Elba Reyes,¿Por qué sale el mensaje de cuenta en revisión en WhatsApp y cuánto tarda el bloqueo?,devices,2026-08,989.0,265.0,0.0,0.0,1254.0,7.2,20691.0
/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-agenda-de-hoy-viernes-7-de-agosto,2026-08-07 14:51:31,Elba Reyes,"Juegos Centroamericanos Santo Domingo 2026: agenda de hoy, viernes 7 de agosto",sport business,2026-08,883.0,312.0,59.0,0.0,1254.0,4.44,23952.0
/mercado-women/trends/erika-kirk-cuestiona-sufragio-femenino,2026-08-05 23:19:25,Karime Rivas,Erika Kirk sacude a Estados Unidos con una idea que cuestiona un siglo de sufragio femenino,trends,2026-08,1020.0,206.0,0.0,0.0,1226.0,4.95,5141.0
/money-invest/daily-news/el-minerd-delimita-excelencia-sin-barreras-solo-estudiantes-de-escuelas-publicas-podran-postular-a-las-becas,2026-08-13 16:56:21,Andrea Mercedes,El Minerd delimita &#8216;Excelencia Sin Barreras&#8217;: solo estudiantes de escuelas públicas podrán postular a las becas,daily news,2026-08,1140.0,7.0,2.0,1.0,1150.0,5.58,262.0
/actualidad/cuantos-hijos-tiene-lionel-messi-quienes-son,2026-08-09 08:45:04,Edwin Lozada,"¿ Cuántos hijos tiene Lionel Messi y quiénes son? Conoce a Thiago, Mateo y Ciro",actualidad,2026-08,817.0,316.0,0.0,2.0,1135.0,4.42,38963.0
/actualidad/festival-presidente-2026-danny-ocean-y-calvin-harris-se-unen-a-la-cartelera-cuando-se-presentara-en-santo-domingo,2026-08-14 17:34:29,Elba Reyes,Festival Presidente 2026: Danny Ocean  y Calvin Harris se unen a la cartelera: ¿cuándo se presentará en Santo Domingo?,actualidad,2026-08,1094.0,0.0,0.0,0.0,1094.0,,
/actualidad/festival-presidente-2026-revelan-los-11-primeros-artistas-confirmados,2026-08-12 16:34:19,Elba Reyes,Festival Presidente 2026: revelan los 11 primeros artistas confirmados,actualidad,2026-08,1002.0,29.0,0.0,0.0,1031.0,4.35,1155.0
/money-invest/daily-news/de-que-murio-jorge-messi-padre-lionel-messi,2026-08-08 16:26:59,Edwin Lozada,"¿De qué murió Jorge Messi, el padre de Lionel Messi? Esto se sabe sobre la causa de su fallecimiento",sport business,2026-08,778.0,252.0,0.0,0.0,1030.0,4.76,9687.0
/money-invest/daily-news/jorge-messi-fortuna-lionel-messi,2026-08-08 16:59:41,Edwin Lozada,Jorge Messi: el hombre detrás de la fortuna de US$1.100 millones de Lionel Messi,daily news,2026-08,751.0,259.0,0.0,0.0,1010.0,4.05,9191.0
/actualidad/paso-a-paso-como-consultar-si-recibiras-el-bono-a-mil-y-que-hacer-si-no-apareces-en-la-lista,2026-08-05 19:52:34,Elba Reyes,Paso a paso: Cómo consultar si recibirás el Bono a Mil y qué hacer si no apareces en la lista,actualidad,2026-08,670.0,302.0,1.0,0.0,973.0,6.04,42627.0
