video_id,titulo,fecha_publicacion,duracion_seg,pct_reproducido,duracion_promedio_vista,vistas,horas_reproduccion,categoria,es_short,ingresos_usd
IuGdJ8838tg,La guerra escala Medio Oriente abre un nuevo capítulo de incertidumbre global,"Jul 24, 2026",82,107.27,0:01:27,68626,1165.4665,Noticias breves (geopolítica/actualidad),True,7.346
yAj3AYOh7yY,¿Se agota los misiles de Estados Unidos Washington niega una crisis militar?,"Aug 5, 2026",112,103.25,0:01:55,47620,1066.4312,Noticias breves (geopolítica/actualidad),True,5.12
ovKMLcMovRQ,Irán eleva amenazas contra EEUU y el comercio energético mundial,"Jul 16, 2026",111,99.45,0:01:50,46331,980.8269,Noticias breves (geopolítica/actualidad),True,4.777
biHUbgJTdFQ,Irán suma un aliado a la guerra y pone en riesgo para la economía global,"Jul 17, 2026",102,93.42,0:01:35,50779,970.1009,Noticias breves (geopolítica/actualidad),True,4.762
Vvfoc_ubQz4,Trump da marcha atrás al polémico peaje del 20% en el estrecho de Ormuz,"Jul 15, 2026",114,97.62,0:01:51,40158,881.7675,Noticias breves (geopolítica/actualidad),True,4.496
XtCQlOmEprI,La presión militar de Irán se mantiene mientras crecen los llamados al diálogo,"Jul 20, 2026",107,96.24,0:01:42,39723,827.7251,Noticias breves (geopolítica/actualidad),True,3.901
Ca2kyRyFk4E,Civiles vuelven a pagar el costo de la guerra entre Estados Unidos e Irán,"Jul 30, 2026",94,103.57,0:01:37,33749,621.1617,Noticias breves (geopolítica/actualidad),True,3.908
kwPlMtpLsyw,Una nueva tensión en el mar Rojo eleva la alerta global,"Jul 22, 2026",84,111.05,0:01:33,33533,600.7099,Noticias breves (geopolítica/actualidad),True,3.633
svQAHfzp87k,La guerra se expande nuevos aliados intensifican la escalada militar,"Jul 29, 2026",76,117.73,0:01:29,34159,572.0542,Noticias breves (geopolítica/actualidad),True,3.759
bNQE74ftIwQ,La tragedia sísmica en Colombia escala el balance preliminar deja terribles cifras,"Aug 11, 2026",132,88.16,0:01:56,22009,474.8496,Noticias breves (geopolítica/actualidad),True,2.101
JMrtB123uYw,Terremoto en Colombia reaviva las alertas,"Aug 10, 2026",110,88.36,0:01:37,17898,338.4038,Noticias breves (geopolítica/actualidad),True,1.421
bTO37XyC3Ko,La guerra invisible del petróleo barcos ocultos y una economía en alerta,"Aug 13, 2026",106,105.43,0:01:51,15512,327.69,Noticias breves (geopolítica/actualidad),True,1.449
5OTqc3ZMUkc,"La guerra entra en pausa, pero la tensión sigue al máximo","Jul 27, 2026",108,106.46,0:01:54,13004,274.1283,Noticias breves (geopolítica/actualidad),True,1.348
-UaQ-9GawPM,10 terremotos en 7 meses la cadena sísmica nos mantiene en alerta,"Aug 12, 2026",159,98.35,0:02:36,8047,237.5638,Noticias breves (geopolítica/actualidad),True,0.375
3CLeZaACFLo,Nuevo riesgo para Irán: conflictos internos por inflación del 90%,"Jul 21, 2026",89,111.3,0:01:39,10881,206.3111,Noticias breves (geopolítica/actualidad),True,1.297
68ZNKFP9ckM,Ataques y represalias agravan el conflicto entre Estados Unidos e Irán,"Jul 13, 2026",100,103.06,0:01:43,9241,181.621,Noticias breves (geopolítica/actualidad),True,0.977
DWdcYHvtJPo,Amenaza contra la vida de Trump sacude el tablero geopolítico,"Jul 10, 2026",89,110.71,0:01:38,5628,107.5424,Noticias breves (geopolítica/actualidad),True,0.615
tNjvI2Nk7BE,Trump asegura que EE UU mantiene capacidad militar y advierte que los ataques podrían reanudarse,"Jul 28, 2026",94,108.62,0:01:42,5243,100.2631,Noticias breves (geopolítica/actualidad),True,0.613
o6u1n5CvBeY,Vuelven los bombardeos de EE UU a Irán por el bloqueo de buques en Ormuz,"Jul 8, 2026",117,94.65,0:01:50,4424,92.6081,Noticias breves (geopolítica/actualidad),True,0.508
0waYhkFY3AM,Orgullo dominicano que convirtió velocidad en millones: Marileidy Paulino,"Aug 6, 2026",97,81.9,0:01:19,3995,51.2725,Otros / Institucional,True,0.264
hYSpNJorCno,El origen de la COVID 19 vuelve al centro del poder en Washington,"Jul 30, 2026",145,92.15,0:02:13,1087,27.6106,Otros / Institucional,True,0.107
36XMpoilps4,¿Puede tomar Trump el control de Venezuela?,"Jul 1, 2026",105,80.78,0:01:24,1256,22.8632,Noticias breves (geopolítica/actualidad),True,0.116
BBt-DWbHX5s,¿Vale menos una medalla centroamericana que una olímpica?,"Aug 5, 2026",111,76.83,0:01:25,809,12.1587,Deportes,True,0.064
ZvBpAfKgJrw,"México, Inglaterra, España y Francia… ¿fuera del Mundial?","Jul 31, 2026",81,99.01,0:01:20,779,10.7978,Otros / Institucional,True,0.077
q9D-V1yfOrw,Redefiniendo la Historia de Cleopatra: La Visión de Kathleen Martínez,"Mar 12, 2026",689,29.98,0:03:26,165,9.3524,Documental (Kathleen Martínez),False,
PP5jnSPUjXE,"Taposiris Magna, el tesoro sumergido que podría cambiar la historia - Dra. Kathleen Martínez Ep.4","Dec 11, 2024",796,40.79,0:05:24,98,8.7489,Documental (Kathleen Martínez),False,0.334
WhxSmfv7Hzw,Tupaq: de una idea a una red nacional,"Aug 3, 2026",506,42.9,0:03:37,144,8.6823,Otros / Institucional,False,
cgItzQG1hJs,Conversaciones con el Dr. Enrique Rojas Episode 4 - Mercado Podcast,"Aug 14, 2024",1286,42.57,0:09:07,53,8.0605,Mercado Podcast,False,0.217
nTHaEn5IKgU,Infantino sigue perdiendo respaldo,"Aug 3, 2026",112,55.31,0:01:01,716,8.0439,Otros / Institucional,True,0.046
cV47gtFgzL8,La otra carrera de Marileidy Paulino construir talento después de conquistar el mundo,"Aug 14, 2026",100,61.6,0:01:01,627,7.6842,Otros / Institucional,True,0.059
2LeA0vrSaKY,Europa dividida la batalla por el control de sus fronteras,"Aug 4, 2026",102,106.77,0:01:48,367,6.9891,Otros / Institucional,True,0.032
