autor,entidad,tipo,notas,confianza,meses_activos,mes_primero,mes_reciente,demanda_reciente_ratio,es_recurrente
Andrea Mercedes,rutas alternas,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Salvador,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Sánchez,entidad,4,media,1,2026-06,2026-06,0.0,False
Andrea Mercedes,Santa,entidad,2,baja,1,2026-03,2026-03,0.0,False
Andrea Mercedes,será más caro,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,tarifas del transporte,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,terremotos en venezuela,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,transporte público,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Constitucional,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,túnel de la plaza,tema,4,media,1,2026-07,2026-07,1.0,False
Andrea Mercedes,últimas encuestas,tema,2,baja,1,2026-06,2026-06,0.0,False
Andrea Mercedes,Viva Dominicus Beach,entidad,2,baja,1,2026-06,2026-06,0.0,False
Andrea Mercedes,votos del extranjero,tema,2,baja,1,2026-06,2026-06,0.0,False
Darling Gil,IA,entidad,3,media,1,2026-07,2026-07,1.0,False
Edwin Lozada,Colombia,entidad,5,media,4,2026-05,2026-08,0.0,False
Edwin Lozada,Abelardo de la Espriella,entidad,2,baja,2,2026-06,2026-07,0.0,False
Edwin Lozada,alerta de tsunami,tema,2,baja,2,2026-07,2026-08,0.0,False
Edwin Lozada,dominicana y dónde verlo,tema,6,media,2,2026-06,2026-07,0.045230938965757264,False
Edwin Lozada,hora juega,tema,6,media,2,2026-06,2026-07,0.045230938965757264,False
Edwin Lozada,juegos centroamericanos,tema,3,media,2,2026-07,2026-08,1.0,False
Edwin Lozada,medallero santo,tema,2,baja,2,2026-07,2026-08,1.0,False
Edwin Lozada,Mundial,tema,8,media,2,2026-06,2026-07,1.0,False
Edwin Lozada,Santo Domingo,entidad,6,media,2,2026-07,2026-08,1.0,False
Edwin Lozada,verlo en vivo,tema,4,media,2,2026-06,2026-07,0.07969314179788092,False
