periodo,periodo_inicio,periodo_fin,pagePath,pageTitle,screenPageViews,totalUsers,sessions,engagementRate,averageSessionDuration
actual,2026-07-26,2026-08-11,/technology/devices/todo-sobre-el-iphone-18-pro-y-iphone-18-pro-max-filtraciones-chip-de-2nm-camaras-y-precio-estimado/,"iPhone 18 Pro: A20 Pro, cámara variable y novedades de 2026",4223,1900,2424,0.984323,138.47
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/cuantos-partidos-le-quedan-al-mundial-2026-fechas-horarios-y-el-calendario-oficial-de-la-fase-final/,Mundial 2026: calendario completo de la recta final del torneo,4005,1795,2493,0.983554,107.69
anterior,2026-07-09,2026-07-25,/p/codigo-postal-santo-domingo-este/,Código postal Santo Domingo Este: aquí está la lista completa,4001,1490,2034,0.989184,100.05
actual,2026-07-26,2026-08-11,/p/codigo-postal-santo-domingo-este/,Código postal Santo Domingo Este: aquí está la lista completa,3977,1497,2052,0.986355,98.61
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-las-loterias-del-12-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 12 de julio de 2026 en República Dominicana - Revista Mercado,3967,1540,2433,0.993835,79.44
actual,2026-07-26,2026-08-11,/event-detail/the-best-of-dr-2026/,The Best of DR,3947,1750,2299,0.985211,63.42
anterior,2026-07-09,2026-07-25,/mejores-empresas-para-trabajar-2026/,Mejores Empresas Para Trabajar 2026 - Revista Mercado,3916,1345,1676,0.981504,70.48
anterior,2026-07-09,2026-07-25,/actualidad/por-que-los-dias-en-la-tierra-pasaran-a-durar-25-horas-y-a-partir-de-que-fecha-segun-la-ciencia/,¿La Tierra tendrá días de 25 horas? Esto dice la ciencia,3849,1811,2566,0.995713,69.56
actual,2026-07-26,2026-08-11,/empresas/sport-business/el-equipo-ideal-del-mundial-2026-los-jugadores-elegidos-por-la-fifa/,Equipo ideal del Mundial 2026: la FIFA revela el once del torneo,3832,1635,2285,0.975055,159.93
anterior,2026-07-09,2026-07-25,/empresas/sport-business/mundial-de-futbol-2030-donde-se-jugara-sedes-confirmadas-y-cuando-empieza-el-torneo-centenario/,"Mundial 2030: sedes, países, estadios y formato confirmado",3699,1600,2222,0.977048,176.85
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-las-loterias-del-31-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 31 de julio de 2026,3589,1394,2149,0.993951,105.23
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-las-loterias-del-02-de-agosto-de-2026-en-republica-dominicana/,Resultados de las loterías del 02 de agosto de 2026 en República Dominicana - Revista Mercado,3523,1335,2082,0.990874,112.01
actual,2026-07-26,2026-08-11,/vision-emprendedora-2026/,Visión Emprendedora 2026 - Revista Mercado,3491,1503,1806,0.988926,34.87
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-las-loterias-del-30-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 30 de julio de 2026,3405,1266,2019,0.990589,129.84
actual,2026-07-26,2026-08-11,/money-invest/daily-news/ciudad-aeropuerto-jorge-chavez-lima-40-millones-pasajeros/,Perú construye la primera ciudad aeropuerto de América Latina,3354,1578,2215,0.991422,85.26
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-leidsa-del-sabado-11-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del sábado 11 de julio de 2026 en República Dominicana - Revista Mercado,3314,1322,1880,0.993617,81.56
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/monorriel-santo-domingo-cambia-ruta-nuevo-trazado/,¿Cuál será el nuevo recorrido del monorriel de Santo Domingo?,3313,1505,2149,0.984644,151.72
actual,2026-07-26,2026-08-11,/technology/devices/golpe-al-bolsillo-el-iphone-18-pro-llegara-con-una-subida-de-precio-notable-se-que-la-hemos-sacado-pero-como-se-aproxima-nos-puede-servir/,iPhone 18 Pro: este sería el fuerte aumento de su precio,3228,1423,1871,0.987707,93.70
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-las-loterias-del-15-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 15 de julio de 2026 en República Dominicana - Revista Mercado,3140,1228,1964,0.991344,86.23
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-leidsa-del-miercoles-22-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del miércoles 22 de julio en RD,3113,1263,1783,0.992148,78.32
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-las-loterias-del-09-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 09 de julio de 2026 en República Dominicana - Revista Mercado,3078,1196,1918,0.998436,109.40
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/records-espana-campeona-mundial-2026-2/,Récords de España tras ganar el Mundial 2026,3064,1245,1642,0.984775,141.84
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-leidsa-del-sabado-25-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del sábado 25 de julio de 2026 en República Dominicana - Revista Mercado,3040,1189,1730,0.994220,99.71
anterior,2026-07-09,2026-07-25,/form-autoshow-and-vision-emprendedora/,Formulario AutoShow and Vision Emprendedora - Revista Mercado,3035,1082,1635,0.938226,169.79
anterior,2026-07-09,2026-07-25,/actualidad/quienes-son-los-favoritos-para-ganar-el-balon-de-oro-2026-y-cuales-son-sus-estadisticas/,"Favoritos al Balón de Oro 2026: Kane, Yamal, Rodri y Mbappé",2951,1352,1766,0.984711,127.78
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-leidsa-del-miercoles-15-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del miércoles 15 de julio en RD,2889,1171,1680,0.992262,73.98
actual,2026-07-26,2026-08-11,/money-invest/daily-news/bono-a-mil-2026-2027-como-consultar-con-tu-cedula-si-tus-hijos-estan-en-la-lista/,Bono a Mil 2026-2027: verifica con tu cédula si tus hijos califican,2882,1214,1809,0.996683,75.90
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-las-loterias-del-05-de-agosto-de-2026-en-republica-dominicana/,Resultados de Loterías del 5 de agosto 2026 | Nacional y Leidsa,2862,1141,1710,0.993567,95.85
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-las-loterias-del-03-de-agosto-de-2026-en-republica-dominicana/,Resultados de la lotería del 3 de agosto,2762,1113,1698,0.995878,99.95
actual,2026-07-26,2026-08-11,/actualidad/quien-es-melissa-nunez-miss-rd-universo-2026-biografia-carrera-y-perfil-de-la-ganadora/,Melissa Núñez es Miss República Dominicana Universo 2026,2696,1159,1591,0.980515,158.30
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/expertos-advierten-gran-terremoto-republica-dominicana/,República Dominicana enfrenta alto riesgo de un gran terremoto,2606,1131,1551,0.969697,205.86
anterior,2026-07-09,2026-07-25,/events/,Mercado Events: experiencias y eventos de negocios | Mercado,2588,712,1505,0.958804,142.25
actual,2026-07-26,2026-08-11,/event-detail/the-best-of-dr-region-norte/,The Best of DR – Región Norte,2362,1063,1366,0.990483,59.73
actual,2026-07-26,2026-08-11,/empresas/sport-business/agenda-hoy-juegos-centroamericanos-santo-domingo-2026/,Agenda de hoy en Santo Domingo 2026: deportes y competencias,2349,1006,1396,0.989255,135.98
actual,2026-07-26,2026-08-11,/money-invest/daily-news/nuevo-codigo-penal-entra-en-vigor-en-republica-dominicana-estos-son-los-principales-cambios/,¿Qué cambia con el nuevo Código Penal en RD?,2335,1010,1449,0.966874,244.95
anterior,2026-07-09,2026-07-25,/empresas/sport-business/cuanto-dinero-gana-el-campeon-del-mundial-2026-el-millonario-premio-de-la-fifa-bajo-la-lupa/,¿Cuánto dinero gana el campeón del Mundial 2026?,2290,1000,1427,0.978276,145.79
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-las-loterias-del-19-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 19 de julio de 2026 en República Dominicana - Revista Mercado,2289,936,1433,0.994417,67.84
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-las-loterias-del-13-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 13 de julio de 2026 en República Dominicana - Revista Mercado,2254,917,1431,0.993711,106.45
actual,2026-07-26,2026-08-11,/events/,Mercado Events: experiencias y eventos de negocios | Mercado,2204,457,1224,0.952614,170.39
actual,2026-07-26,2026-08-11,/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-dominicanos-que-compiten-hoy-y-sus-horarios/,Juegos Centroamericanos 2026: calendario de RD hoy,2201,949,1304,0.986963,122.50
actual,2026-07-26,2026-08-11,/technology/devices/la-isla-dinamica-del-iphone-18-pro-cambia-asi-sera-la-nueva-pantalla-del-flagship-de-apple/,Apple reduciría la Isla Dinámica del iPhone 18 Pro,2185,988,1258,0.981717,108.31
actual,2026-07-26,2026-08-11,/suscribe/,Suscripciones - Revista Mercado,2178,941,1276,0.983542,54.27
actual,2026-07-26,2026-08-11,/money-invest/daily-news/como-funcionara-el-recorrido-directo-en-el-metro-de-santo-domingo-tras-eliminar-la-transferencia-en-la-estacion-maria-montez/,Así funcionará la Línea 2C del Metro de Santo Domingo sin transfer,2119,971,1401,0.989293,106.90
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-leidsa-del-miercoles-8-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del miércoles 8 de julio en RD,2094,847,1211,0.995045,77.30
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/renuncia-gianni-infantino-escandalo-fifa-trump-mundial-2026/,Mundial 2026: organizaciones exigen la salida de Gianni Infantino,2039,905,1269,0.988180,101.89
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-las-loterias-del-07-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 07 de julio de 2026 en República Dominicana - Revista Mercado,2025,792,1250,0.997600,102.53
anterior,2026-07-09,2026-07-25,/actualidad/hay-escena-post-creditos-en-la-odisea-esto-debes-saber-antes-de-salir-del-cine/,¿La Odisea tiene escena postcréditos? Esto debes saber,1999,811,1170,0.969231,141.79
actual,2026-07-26,2026-08-11,/actualidad/quien-es-celia-cuccittini-madre-lionel-messi/,"¿Quién es Celia Cuccittini, la madre de Lionel Messi?",1856,848,1148,0.993031,158.32
anterior,2026-07-09,2026-07-25,/turismo/paises-a-los-que-puedes-viajar-sin-visa-desde-republica-dominicana-en-abril-2026/,Países a los que puedes viajar sin visa desde República Dominicana en abril 2026 - Revista Mercado,1763,711,1041,0.976945,238.62
actual,2026-07-26,2026-08-11,/technology/como-saber-si-te-bloquearon-en-whatsapp-las-senales-que-si-lo-confirman/,Cómo saber si te bloquearon en WhatsApp: las señales que sí lo confirman - Revista Mercado,1760,773,1060,0.997170,155.36
anterior,2026-07-09,2026-07-25,/actualidad/a-que-hora-empieza-la-inauguracion-de-los-juegos-centroamericanos-santo-domingo-2026-y-donde-verla-en-rd/,Juegos Centroamericanos 2026: hora y dónde ver la inauguración,1749,750,1045,0.974163,181.64
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/cuanto-pagaras-por-una-transferencia-bancos-explican-como-funciona-el-nuevo-impuesto-de-0-20/,Nuevo impuesto a transferencias: esto pagarás desde el 3 de julio,1695,771,1102,0.980036,87.08
actual,2026-07-26,2026-08-11,/actualidad/estuve-casada-melissa-nunez-aclara-su-pasado-y-pide-respetar-su-vida-privada/,Melissa Núñez confirma que estuvo casada y aclara si tiene hijos,1600,723,980,0.984694,119.83
actual,2026-07-26,2026-08-11,/money-invest/daily-news/cuales-son-los-10-terremotos-de-magnitud-mayor-a-7-que-se-han-registrado-en-el-mundo-en-lo-que-va-de-2026/,¿Cuáles son los terremotos más fuertes de 2026?,1597,702,934,0.976445,145.88
anterior,2026-07-09,2026-07-25,/technology/devices/cuanto-costara-el-iphone-18-pro-max-en-republica-dominicana-filtraciones-de-su-precio-estimado/,iPhone 18 Pro Max: este sería su precio en República Dominicana,1596,727,937,0.990395,84.27
actual,2026-07-26,2026-08-11,/technology/devices/iphone-18-en-septiembre-la-razon-por-la-que-apple-no-lanzara-el-modelo-base/,Apple retrasaría el iPhone 18 y lanzaría primero los modelos Pro,1587,722,894,0.980984,134.10
anterior,2026-07-09,2026-07-25,/actualidad/tension-en-el-mundial-2026-los-detalles-del-incomodo-cruce-entre-shakira-pique-y-clara-chia/,Shakira y Gerard Piqué coinciden en la final del Mundial 2026,1568,734,965,0.989637,123.73
actual,2026-07-26,2026-08-11,/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-agenda-de-hoy-jueves-6-de-agosto/,Santo Domingo 2026 hoy: agenda de República Dominicana,1553,662,918,0.978214,181.68
actual,2026-07-26,2026-08-11,/empresas/sport-business/incentivos-atletas-juegos-centroamericanos-2026-rd/,¿Cuánto recibirán por cada medalla en Santo Domingo 2026?,1552,654,953,0.973767,148.86
actual,2026-07-26,2026-08-11,/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-agenda-de-hoy-martes-4-de-agosto/,Agenda RD hoy en los Juegos Centroamericanos 2026,1543,681,934,0.977516,150.94
actual,2026-07-26,2026-08-11,/money-invest/daily-news/esta-aumentando-realmente-la-cantidad-de-terremotos-en-el-planeta-o-es-solo-una-percepcion-mediatica/,¿Están aumentando los terremotos? Esto explican los expertos,1540,694,934,0.981799,117.19
actual,2026-07-26,2026-08-11,/turismo/paises-a-los-que-puedes-viajar-sin-visa-desde-republica-dominicana-en-abril-2026/,Países a los que puedes viajar sin visa desde República Dominicana en abril 2026 - Revista Mercado,1530,627,906,0.972406,194.69
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-leidsa-del-miercoles-6-de-agosto-de-2026-en-republica-dominicana/,Resultados de Leidsa del miércoles 5 de agosto en RD,1522,604,872,0.995413,95.65
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-las-loterias-del-14-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 14 de julio de 2025,1482,591,914,0.995624,87.97
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/el-monorriel-de-santo-domingo-y-el-sistema-de-santiago-lideraran-el-presupuesto-de-2027/,El transporte público continúa como eje de la inversión estatal,1454,641,930,0.993548,83.00
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/como-ver-juegos-centroamericanos-santo-domingo-2026-rd/,¿Cuándo y dónde ver los Juegos Centroamericanos 2026 en RD?,1451,615,869,0.962025,190.46
anterior,2026-07-09,2026-07-25,/lifestyle/como-esta-el-sargazo-en-punta-cana-y-el-caribe-dominicano-estado-actual-de-las-costas-en-julio-de-2026/,¿Cómo está el sargazo en Punta Cana y el Caribe dominicano?,1444,647,846,0.965721,140.86
actual,2026-07-26,2026-08-11,/mejores-empresas-para-trabajar-2026/,Mejores Empresas Para Trabajar 2026 - Revista Mercado,1425,391,501,0.976048,150.07
actual,2026-07-26,2026-08-11,/actualidad/juegos-centroamericanos-santo-domingo-2026-agenda-de-hoy-lunes-3-de-agosto/,Juegos Santo Domingo 2026: programación completa de hoy,1423,602,857,0.982497,156.69
actual,2026-07-26,2026-08-11,/technology/devices/iphone-plegable-fecha-de-lanzamiento-posibles-caracteristicas-y-precio-estimado/,"iPhone plegable: cuándo saldrá, cómo será y cuánto costará",1406,651,813,0.975400,157.54
actual,2026-07-26,2026-08-11,/money-invest/daily-news/muere-roman-ramos-fundador-de-grupo-ramos-y-pionero-del-comercio-moderno-en-republica-dominicana/,"Fallece Román Ramos, fundador de Grupo Ramos",1398,607,849,0.955241,169.92
anterior,2026-07-09,2026-07-25,/technology/como-saber-si-te-bloquearon-en-whatsapp-las-senales-que-si-lo-confirman/,Cómo saber si te bloquearon en WhatsApp: las señales que sí lo confirman - Revista Mercado,1395,603,826,0.989104,153.69
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-leidsa-del-miercoles-22-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del miércoles 22 de julio en RD,1388,577,825,0.992727,82.50
anterior,2026-07-09,2026-07-25,/empresas/sport-business/el-equipo-ideal-del-mundial-2026-los-jugadores-elegidos-por-la-fifa/,Equipo ideal del Mundial 2026: la FIFA revela el once del torneo,1317,595,800,0.990000,120.07
anterior,2026-07-09,2026-07-25,/empresas/sport-business/mundial-2026-cruces-de-semifinales-equipos-clasificados-y-fechas-de-los-partidos/,"Semifinales Mundial 2026: cruces, equipos clasificados y fechas",1306,576,824,0.995146,72.70
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/elecciones-presidenciales-en-brasil-2026-quien-va-ganando-entre-lula-y-bolsonaro/,¿Quién va ganando las elecciones presidenciales en Brasil 2026?,1303,590,829,0.962606,135.11
actual,2026-07-26,2026-08-11,/actualidad/quienes-son-hermanos-lionel-messi/,¿Quiénes son los hermanos de Lionel Messi? Conoce a su familia,1253,572,769,0.988296,131.30
actual,2026-07-26,2026-08-11,/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-agenda-de-hoy-miercoles-5-de-agosto/,Agenda de RD hoy en los Juegos Centroamericanos 2026,1249,538,771,0.985733,151.04
anterior,2026-07-09,2026-07-25,/technology/como-verificar-en-que-dispositivos-esta-abierta-tu-cuenta-de-whatsapp/,Cómo verificar en qué dispositivos está abierta tu cuenta de WhatsApp - Revista Mercado,1239,524,745,0.986577,119.57
actual,2026-07-26,2026-08-11,/empresas/sport-business/donde-y-cuando-seran-los-proximos-juegos-centroamericanos-y-del-caribe/,¿Dónde serán los próximos Juegos Centroamericanos 2030?,1229,557,770,0.981818,129.46
actual,2026-07-26,2026-08-11,/lifestyle/experiencias/asi-sera-el-espectaculo-de-clausura-de-los-juegos-centroamericanos-y-del-caribe-santo-domingo-2026/,Clausura de los Juegos Centroamericanos 2026: hora y detalles,1211,548,728,0.967033,235.71
actual,2026-07-26,2026-08-11,/technology/devices/cuando-sale-el-iphone-18-y-que-cambios-traera-el-nuevo-telefono-de-apple/,¿Cuándo sale el iPhone 18 y qué cambios traerá el nuevo teléfono de Apple? - Revista Mercado,1193,511,657,0.968037,176.63
actual,2026-07-26,2026-08-11,/technology/devices/whatsapp-deja-de-funcionar-en-agosto-2026-celulares-sin-soporte-y-lista-de-modelos/,WhatsApp dejará de ser compatible con estos celulares Android,1190,536,774,0.981912,131.43
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/que-debes-saber-sobre-el-cambio-de-la-cedula-en-republica-dominicana/,Qué debes saber sobre el cambio de la cédula en República Dominicana - Revista Mercado,1183,506,664,0.975904,140.27
actual,2026-07-26,2026-08-11,/empresas/sport-business/fortuna-de-gianni-infantino-cuanto-gana-el-presidente-de-la-fifa-y-como-construyo-su-patrimonio-antes-del-mundial-2026/,Fortuna de Gianni Infantino: cuánto gana el presidente de la FIFA y cómo construyó su patrimonio antes del Mundial 2026 - Revista Mercado,1181,529,723,0.975104,140.32
actual,2026-07-26,2026-08-11,/technology/devices/me-han-bloqueado-en-whatsapp-el-truco-definitivo-para-confirmarlo-en-2026/,Cómo saber si te bloquearon en WhatsApp en 2026,1131,498,682,0.980938,180.01
actual,2026-07-26,2026-08-11,/event-detail/business-forum-usa/,Business Forum USA,1124,409,703,0.968706,154.32
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/como-cambia-la-ley-de-la-policia-nacional-en-rd-los-nuevos-limites-de-las-requisas-y-los-rangos-modificados/,¿Cuáles son los principales cambios de la reforma policial en RD?,1120,461,689,0.981132,193.55
actual,2026-07-26,2026-08-11,/empresas/sport-business/quienes-son-los-atletas-dominicanos-que-ganaron-medalla-de-oro-en-los-juegos-centroamericanos-2026/,Medallas de oro de República Dominicana en Santo Domingo 2026,1112,447,664,0.974398,213.02
actual,2026-07-26,2026-08-11,/actualidad/temblor-colombia-hoy-10-agosto-2026-magnitud-epicentro/,Fuerte temblor sacudió a Colombia este lunes: fue de magnitud 7.4,1095,470,687,0.972344,158.96
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/abinader-promulga-la-reforma-fiscal-estas-son-las-principales-medidas-de-la-ley-30-26/,"Reforma fiscal RD: nuevos impuestos, incentivos y amnistía fiscal",1095,379,695,0.917986,233.02
actual,2026-07-26,2026-08-11,/money-invest/daily-news/cambios-nuevo-codigo-penal-republica-dominicana-2026/,¿Qué artículos cambian en el nuevo Código Penal de RD?,1095,473,663,0.950226,207.93
actual,2026-07-26,2026-08-11,/technology/como-verificar-en-que-dispositivos-esta-abierta-tu-cuenta-de-whatsapp/,Cómo verificar en qué dispositivos está abierta tu cuenta de WhatsApp - Revista Mercado,1087,458,657,0.990868,116.13
anterior,2026-07-09,2026-07-25,/rankings/,Rankings empresariales y ejecutivos en República Dominicana,1042,259,397,0.979849,123.02
